"t","a","v","w","sv","sw","wienr","err"
1.70325243409025,1,0.5,0.3,1,0.2,0.000302417503091541,1e-13
2.27932906904025,2.5,-0.2,0.5,0.5,0.05,0.0854982789356122,1e-13
1.16855707885698,1.5,1.5,0.5,1,0.05,0.0269880546033501,1e-13
1.15117888185196,2.5,0.5,0.3,1,0.2,0.113608866261485,1e-13
0.552357396506704,1,1.5,0.7,1,0.2,0.0526853526063343,1e-13
1.38725660468917,0.6,-0.2,0.5,2,0.05,1.9398223232261e-08,1.00000000013235e-13
0.812321183353197,1.5,1.5,0.3,2,0.4,0.0670293371718803,1.00013877787808e-13
1.04198455936275,2.5,-1,0.3,0.5,0.4,0.240549132375157,1.02442490654175e-13
2.67426995228743,1.5,1.5,0.7,1,0.4,0.000526927859131941,1e-13
0.645741581532639,0.6,0,0.3,0.5,0.2,0.000925867936776979,1.00000216840435e-13
1.75859882617369,0.6,-1,0.3,0.5,0.05,1.23106504340305e-10,1.00000000000052e-13
0.662514488189481,2.5,-1,0.7,0.5,0.2,0.547321421510212,1.00111022302463e-13
0.880332937440835,0.6,0.5,0.3,1,0.05,2.67890068243572e-05,1.00000003388132e-13
2.36952955204761,1,0.5,0.7,1,0.05,1.02540130147489e-05,1e-13
0.560407080559526,1,4,0.5,1,0.4,0.00260867045134777,1e-13
1.73370517872972,2.5,-1,0.7,1,0.4,0.132786311050841,1.00277555756156e-13
1.28688474163646,1,-1,0.5,0.5,0.4,0.0041234325300624,1e-13
0.83948538718978,1.5,0.5,0.3,2,0.2,0.0872808587724389,1e-13
0.191037853329908,1.5,0.5,0.3,0.5,0.05,0.996511732714046,1e-13
0.355304509098642,0.6,-1,0.3,1,0.05,0.047120735252214,1e-13
0.976392794214189,1.5,-1,0.3,0.5,0.05,0.118181531901868,1e-13
2.41189113350119,0.6,0,0.7,0.5,0.4,2.31458056888573e-14,1e-13
0.726507851493079,0.6,0.5,0.7,2,0.05,0.000171077955329559,1e-13
0.678345400129911,1,1.5,0.5,0.5,0.4,0.0271945344843117,1e-13
2.63744767231401,0.6,-3,0.5,1,0.4,4.23701309038459e-17,1e-13
2.98000479170587,1,-0.2,0.5,2,0.4,3.50776488871792e-07,1.00000000105879e-13
2.54052870855667,1.5,-1,0.7,2,0.4,0.00141693163495716,1.00000650521303e-13
2.73578782021068,1,-3,0.7,2,0.2,4.56323451120956e-07,1.00000000211758e-13
1.44024571040645,1.5,4,0.7,0.5,0.05,4.35587490098753e-07,1.0000000005294e-13
0.712034303613473,1,4,0.3,2,0.4,0.00622046948125495,1.00000867361738e-13
0.427053236938082,0.6,-1,0.3,2,0.4,0.0118356162958356,1.00001734723476e-13
0.87506636158796,2.5,0,0.5,2,0.4,0.227718205860228,1.55400128928795e-13
2.4575128778466,2.5,1.5,0.5,2,0.2,0.0188550726033369,1e-13
0.219958328828216,1.5,4,0.5,1,0.4,0.0229857986523964,1.31044611326081e-13
2.41834628611105,0.6,4,0.7,0.5,0.05,4.61361681966608e-20,1e-13
0.357944114331622,1,0.5,0.7,0.5,0.05,0.302652147287797,1e-13
2.31148775500478,0.6,0.5,0.5,0.5,0.2,9.0407294031512e-14,1e-13
0.949191170767881,2.5,0.5,0.3,2,0.05,0.12515628824516,1e-13
2.31939789166208,1,1.5,0.7,2,0.4,6.10285290595507e-06,1.00000000847033e-13
1.64493439268554,0.6,0.5,0.7,1,0.4,5.79224823374208e-10,1.00000000000207e-13
1.11899307010463,0.6,-3,0.3,1,0.4,1.23555668247139e-07,1.0000000002647e-13
0.323042902722955,1,-1,0.5,1,0.2,0.776763809726272,1.00111022302463e-13
2.29127800280694,1.5,-0.2,0.3,0.5,0.05,0.00617920816202715,1e-13
2.29441884330008,2.5,-0.2,0.3,2,0.2,0.0235991414470455,1.00003469446952e-13
2.71461949341465,0.6,-0.2,0.7,2,0.2,1.43778871219456e-16,1e-13
2.90053421900375,1,-3,0.5,0.5,0.2,1.80849351937008e-09,1.00000000000414e-13
1.57000703727826,1.5,-3,0.3,1,0.05,0.0025355946916346,1.00000433680869e-13
1.67096798787825,1,-0.2,0.5,1,0.05,0.000541242992415419,1e-13
0.532973695930559,1,-1,0.3,1,0.05,0.155778591270462,1.00027755575616e-13
0.535561013303231,1,1.5,0.7,1,0.2,0.0576740161997554,1.00013877787808e-13
2.36968169353204,1,1.5,0.5,1,0.05,5.37261412222103e-06,1e-13
2.26578458797885,2.5,-1,0.3,2,0.05,0.0233118387799121,1.00006938893904e-13
2.36343337767758,0.6,-1,0.5,0.5,0.05,3.40358183615853e-14,1e-13
