"set","method","us_per_trial","n","n_acc","rel_diff"
39,"WienR 1e-12",1261.900255,200,200,1.2370220447977e-07
39,"WienR 1e-12 + 5 grads",9246.97149,200,200,1.2370220447977e-07
40,"ours 1e-12 (density + 7 grads)",8.6490525,1000,1000,0
40,"rtdists precision=3",11.7206905,1000,1000,0.0320806172115556
40,"rtdists precision=5",756.146762376238,101,101,0.000108352713817261
40,"rtdists precision=8",362818.989807692,26,51,2.58581128620428e-07
40,"WienR 5e-3 (EMC2 default)",7.601482,1000,1000,0.00424873036028584
40,"WienR 1e-4",18.0641285,1000,1000,0.000517594272201549
40,"WienR 1e-8",294.40993,1000,1000,1.2871915089363e-08
40,"WienR 1e-12",1065.79992,200,200,2.92944557500618e-11
40,"WienR 1e-12 + 5 grads",7932.448965,200,200,2.92944557500618e-11
41,"ours 1e-12 (density + 7 grads)",10.1743345,1000,1000,0
41,"rtdists precision=3",18.749997,1000,1000,0.0264047555758702
41,"rtdists precision=5",1186.66915,100,100,7.83286518453163e-05
41,"rtdists precision=8",581429.44846,25,50,1.33262349932828e-07
41,"WienR 5e-3 (EMC2 default)",8.4572135,1000,1000,0.0150653160622273
41,"WienR 1e-4",22.2657675,1000,1000,0.000756026921893582
41,"WienR 1e-8",384.7437745,1000,1000,8.35998337223032e-09
41,"WienR 1e-12",1112.79002,200,200,5.42281886062312e-10
41,"WienR 1e-12 + 5 grads",8659.23977,200,200,5.42281886062312e-10
42,"ours 1e-12 (density + 7 grads)",9.6984885,1000,1000,0
42,"rtdists precision=3",29.983997,1000,1000,0.00476544283144986
42,"rtdists precision=5",1828.42821,100,100,1.60690020970522e-05
42,"rtdists precision=8",872864.40042,25,50,3.39201375876286e-08
42,"WienR 5e-3 (EMC2 default)",17.587893,1000,1000,0.0445267769834421
42,"WienR 1e-4",60.463438,1000,1000,0.0143213541210421
42,"WienR 1e-8",852.404678,1000,1000,2.26327604435639e-08
42,"WienR 1e-12",1214.537055,200,200,4.3560366425055e-10
42,"WienR 1e-12 + 5 grads",8992.3537,200,200,4.3560366425055e-10
43,"ours 1e-12 (density + 7 grads)",11.562574,1000,1000,0
43,"rtdists precision=3",27.7786275,1000,1000,0.0247596986461179
43,"rtdists precision=5",1749.35602,100,100,4.90097501710807e-05
43,"rtdists precision=8",838374.19592,25,50,1.02978535809761e-07
43,"WienR 5e-3 (EMC2 default)",10.7733855,1000,1000,0.0243595519045808
43,"WienR 1e-4",35.462499,1000,1000,0.000426608306734133
43,"WienR 1e-8",547.3798685,1000,1000,3.46938744399949e-08
43,"WienR 1e-12",1249.87311,200,200,8.42544678469892e-09
43,"WienR 1e-12 + 5 grads",9627.142965,200,200,8.42544678469892e-09
44,"ours 1e-12 (density + 7 grads)",9.5469525,1000,1000,0
44,"rtdists precision=3",27.8767405,1000,1000,0.00749363126667335
44,"rtdists precision=5",1785.92966,100,100,2.07581882815111e-05
44,"rtdists precision=8",857951.545923077,26,50,4.42507509523793e-08
44,"WienR 5e-3 (EMC2 default)",13.553329,1000,1000,0.025205197752213
44,"WienR 1e-4",43.934288,1000,1000,0.00163648808077854
44,"WienR 1e-8",679.8905155,1000,1000,6.04341464649494e-08
44,"WienR 1e-12",1204.98467,200,200,1.3429981571278e-09
44,"WienR 1e-12 + 5 grads",8820.00528,200,200,1.3429981571278e-09
45,"ours 1e-12 (density + 7 grads)",10.741344,1000,1000,0
